backend,variant,deg,npts,rep,type,op,maxrelerr,meanrelerr,tpercall
neon,Q,2,400000,20000,dd,ESTRIN-V,2.3917e-32,3.0142e-33,4.1954e-08
neon,Q,2,400000,20000,dd,EVALDIFF,1.4170e-30,1.9967e-32,2.7794e-09
neon,Q,2,400000,20000,dd,POLYMUL,1.4830e-32,7.4703e-33,1.3466e-08
neon,Q,2,400000,20000,td,HORNER,8.6323e-49,9.8003e-50,3.3807e-08
neon,Q,2,400000,20000,td,HORNER-V,8.6323e-49,9.8003e-50,2.9224e-08
neon,Q,2,400000,20000,td,ESTRIN,9.7325e-49,1.4794e-49,8.7129e-08
neon,Q,2,400000,20000,td,ESTRIN-V,5.5122e-49,9.3985e-50,1.0760e-07
neon,Q,2,400000,20000,td,EVALDIFF,3.8799e-49,8.2653e-50,3.3749e-08
neon,Q,2,400000,20000,td,POLYMUL,8.4962e-49,4.8716e-49,1.1861e-07
neon,Q,2,400000,20000,qd,HORNER,1.5830e-65,2.4925e-66,1.1151e-07
neon,Q,2,400000,20000,qd,HORNER-V,1.5830e-65,2.4925e-66,3.7954e-08
neon,Q,2,400000,20000,qd,ESTRIN,1.9284e-65,3.7420e-66,1.9092e-07
neon,Q,2,400000,20000,qd,ESTRIN-V,1.2798e-64,1.2029e-65,1.5912e-07
neon,Q,2,400000,20000,qd,EVALDIFF,1.4896e-65,2.3993e-66,7.4313e-08
neon,Q,2,400000,20000,qd,POLYMUL,1.0457e-65,5.6526e-66,2.0532e-07
neon,BF,2,400000,20000,dd,HORNER,9.1871e-33,1.5949e-33,5.8219e-09
neon,BF,2,400000,20000,dd,HORNER-V,9.1871e-33,1.5949e-33,4.2108e-09
neon,BF,2,400000,20000,dd,ESTRIN,2.3917e-32,2.8847e-33,3.8952e-08
neon,BF,2,400000,20000,dd,ESTRIN-V,2.3917e-32,2.8847e-33,4.6478e-08
neon,BF,2,400000,20000,dd,EVALDIFF,1.4170e-30,1.9111e-32,4.0178e-09
neon,BF,2,400000,20000,dd,POLYMUL,1.4830e-32,7.4703e-33,1.7726e-08
neon,BF,2,400000,20000,td,HORNER,8.5153e-49,1.0979e-49,2.2698e-08
neon,BF,2,400000,20000,td,HORNER-V,8.5153e-49,1.0979e-49,1.6316e-08
neon,BF,2,400000,20000,td,ESTRIN,1.0866e-48,1.6981e-49,6.5544e-08
neon,BF,2,400000,20000,td,ESTRIN-V,1.0866e-48,1.6981e-49,7.9486e-08
neon,BF,2,400000,20000,td,EVALDIFF,5.8321e-49,1.4716e-49,2.3986e-08
neon,BF,2,400000,20000,td,POLYMUL,4.8271e-49,3.3176e-49,5.8838e-08
neon,BF,2,400000,20000,qd,HORNER,5.9734e-65,7.5729e-66,4.5174e-08
neon,BF,2,400000,20000,qd,HORNER-V,5.9734e-65,7.5729e-66,3.1475e-08
neon,BF,2,400000,20000,qd,ESTRIN,5.9734e-65,1.0713e-65,1.0224e-07
neon,BF,2,400000,20000,qd,ESTRIN-V,5.9734e-65,1.0713e-65,1.1332e-07
