op,prec,dim,nnz,cpu_time,gpu_time,cpu_kind,relerr
axpy,d,262144,0,7.1712e-05,9.216e-06,omp,0.000000e+00
axpy,d,1048576,0,0.000404386,2.6656e-05,omp,0.000000e+00
matmul,f,128,0,0.000359618,0.000956421,serial,2.278235e-07
matvec,f,128,0,1.408e-06,1.2864e-05,serial,2.019029e-07
matmul,f,256,0,0.007532597,0.003618146,serial,3.176498e-07
matvec,f,256,0,6.176e-06,1.976e-05,serial,3.277911e-07
matmul,f,512,0,0.071683842,0.014422488,serial,4.454438e-07
matvec,f,512,0,2.6544e-05,3.3921e-05,serial,4.283389e-07
matmul,f,1024,0,0,0.057608989,none,-1.000000e+00
matvec,f,1024,0,0.000131425,6.1969e-05,serial,6.167006e-07
axpy,f,4096,0,2.88e-07,5.808e-06,serial,0.000000e+00
axpy,f,16384,0,1.088e-06,5.856e-06,serial,0.000000e+00
axpy,f,65536,0,5.952e-06,6.384e-06,serial,0.000000e+00
axpy,f,262144,0,2.768e-05,8.288e-06,serial,0.000000e+00
axpy,f,1048576,0,0.00016936,1.5745e-05,serial,0.000000e+00
