platform,host,cpu,cpu_threads,gpu,gpu_arch,cuda,compiler,lib,op,kernel,prec,base,ncomp,prec_bits,dim,nnz,cpu_time,gpu_time,speedup,cpu_kind,relerr,fma,tree,date
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),qd,binary64,4,212,16384,0,6.3217e-05,1.8896e-05,3.3455,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),qd,binary64,4,212,65536,0,0.000266566,5.4369e-05,4.9029,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),qd,binary64,4,212,262144,0,0.001045013,0.0002025,5.1606,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),qd,binary64,4,212,1048576,0,0.004436152,0.000793887,5.5879,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),ds,binary32,2,48,4096,0,6.56e-07,6.001e-06,0.1093,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),ds,binary32,2,48,16384,0,2.592e-06,5.104e-06,0.5078,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),ds,binary32,2,48,65536,0,1.0256e-05,6.496e-06,1.5788,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),ds,binary32,2,48,262144,0,4.3857e-05,9.84e-06,4.4570,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),ds,binary32,2,48,1048576,0,0.000183651,2.208e-05,8.3175,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),ts,binary32,3,72,4096,0,3.008e-06,6.369e-06,0.4723,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
