op,prec,dim,nnz,cpu_time,gpu_time,cpu_kind,relerr
axpy,dd,16384,0,5.184e-06,6.992e-06,omp,0.000000e+00
axpy,dd,65536,0,2.1008e-05,9.824e-06,omp,0.000000e+00
axpy,dd,262144,0,9.8561e-05,2.1904e-05,omp,0.000000e+00
axpy,dd,1048576,0,0.000499348,0.000148865,omp,0.000000e+00
axpy,td,4096,0,6.096e-06,8.112e-06,omp,0.000000e+00
axpy,td,16384,0,2.4512e-05,1.104e-05,omp,0.000000e+00
axpy,td,65536,0,9.7616e-05,2.4448e-05,omp,0.000000e+00
axpy,td,262144,0,0.000396483,7.7409e-05,omp,0.000000e+00
axpy,td,1048576,0,0.00173342,0.000295874,omp,0.000000e+00
axpy,qd,4096,0,1.6464e-05,1.0992e-05,omp,0.000000e+00
axpy,qd,16384,0,6.4081e-05,1.9216e-05,omp,0.000000e+00
axpy,qd,65536,0,0.000270049,5.592e-05,omp,0.000000e+00
axpy,qd,262144,0,0.001068038,0.000203889,omp,0.000000e+00
axpy,qd,1048576,0,0.004506199,0.000798115,omp,0.000000e+00
axpy,ds,4096,0,6.72e-07,6.128e-06,omp,0.000000e+00
axpy,ds,16384,0,2.592e-06,6.032e-06,omp,0.000000e+00
axpy,ds,65536,0,1.0544e-05,6.736e-06,omp,0.000000e+00
axpy,ds,262144,0,4.952e-05,9.248e-06,omp,0.000000e+00
axpy,ds,1048576,0,0.000241153,2.5409e-05,omp,0.000000e+00
axpy,ts,4096,0,3.024e-06,6.496e-06,omp,0.000000e+00
axpy,ts,16384,0,1.2656e-05,6.352e-06,omp,0.000000e+00
axpy,ts,65536,0,4.8961e-05,7.68e-06,omp,0.000000e+00
axpy,ts,262144,0,0.000196177,1.1776e-05,omp,0.000000e+00
axpy,ts,1048576,0,0.000833474,8.5152e-05,omp,0.000000e+00
axpy,qs,4096,0,8.256e-06,6.592e-06,omp,0.000000e+00
axpy,qs,16384,0,3.2112e-05,6.656e-06,omp,0.000000e+00
axpy,qs,65536,0,0.00013384,8.256e-06,omp,0.000000e+00
axpy,qs,262144,0,0.000513969,1.3968e-05,omp,0.000000e+00
axpy,qs,1048576,0,0.002249491,0.000146816,omp,0.000000e+00
matmul,cdd,128,0,0.011346243,0.057462561,omp,1.000703e-31
matvec,cdd,128,0,0.002283248,0.000450784,omp,2.912567e-32
matmul,cdd,256,0,0.037419402,0.229908497,omp,2.031861e-31
matvec,cdd,256,0,0.002005969,0.000894945,omp,4.155319e-32
matmul,cdd,512,0,0.201020319,0.947692168,omp,4.090650e-31
matvec,cdd,512,0,0.001349489,0.001783201,omp,6.024764e-32
matmul,cdd,1024,0,0.835021495,4.16867492,omp,8.196446e-31
matvec,cdd,1024,0,0.002480656,0.003660128,omp,9.280703e-32
matmul,ctd,128,0,0.025412209,0.249460922,omp,0.000000e+00
matvec,ctd,128,0,0.002252512,0.001949664,omp,0.000000e+00
matmul,ctd,256,0,0.113270832,0.996137841,omp,0.000000e+00
matvec,ctd,256,0,0.00227616,0.003895024,omp,0.000000e+00
matmul,ctd,512,0,0.512985918,4.08943332,omp,0.000000e+00
matvec,ctd,512,0,0.002769312,0.007781039,omp,0.000000e+00
matmul,ctd,1024,0,2.62413771,16.4178122,omp,0.000000e+00
matvec,ctd,1024,0,0.004357197,0.015829876,omp,0.000000e+00
matmul,cqd,128,0,0.039437072,0.547721598,omp,0.000000e+00
matvec,cqd,128,0,0.000820512,0.004328364,omp,4.186529e-17
matmul,cqd,256,0,0.206038167,2.18980066,omp,0.000000e+00
matvec,cqd,256,0,0.002681645,0.008645208,omp,5.061905e-17
matmul,cqd,512,0,0.77030175,8.85656818,omp,0.000000e+00
matvec,cqd,512,0,0.003338108,0.017302252,omp,4.323213e-17
matmul,cqd,1024,0,4.2487439,35.5177227,omp,0.000000e+00
matvec,cqd,1024,0,0.007547423,0.034922035,omp,4.518116e-17
matmul,cds,128,0,0.030418796,0.004497958,serial,0.000000e+00
matvec,cds,128,0,0.000236735,2.9328e-05,serial,0.000000e+00
matmul,cds,256,0,0.25218187,0.017883832,serial,0.000000e+00
matvec,cds,256,0,0.000976254,5.1664e-05,serial,0.000000e+00
matmul,cds,512,0,2.05693531,0.072109439,serial,0.000000e+00
matvec,cds,512,0,0.004022327,0.000102352,serial,0.000000e+00
matmul,cds,1024,0,16.7247736,0.352429002,serial,0.000000e+00
matvec,cds,1024,0,0.016062454,0.0001948,serial,0.000000e+00
matmul,cts,128,0,0.130650997,0.009254135,serial,0.000000e+00
matvec,cts,128,0,0.000994781,9.1552e-05,serial,0.000000e+00
matmul,cts,256,0,1.0356928,0.036990621,serial,0.000000e+00
matvec,cts,256,0,0.003988582,0.000173103,serial,0.000000e+00
matmul,cts,512,0,8.2477431,0.153347989,serial,0.000000e+00
matvec,cts,512,0,0.015993491,0.000342607,serial,0.000000e+00
matmul,cts,1024,0,0,0.86185732,none,-1.000000e+00
matvec,cts,1024,0,0,0.000767166,none,-1.000000e+00
matmul,cqs,128,0,0.372111175,0.015196197,serial,0.000000e+00
matvec,cqs,128,0,0.002837016,0.000123344,serial,0.000000e+00
matmul,cqs,256,0,2.98570735,0.061080193,serial,0.000000e+00
matvec,cqs,256,0,0.011352383,0.000243695,serial,0.000000e+00
matmul,cqs,512,0,24.0235443,0.269384507,serial,0.000000e+00
matvec,cqs,512,0,0.04543108,0.000479183,serial,0.000000e+00
matmul,cqs,1024,0,0,1.33940855,none,-1.000000e+00
matvec,cqs,1024,0,0,0.001171548,none,-1.000000e+00
axpy,cd,4096,0,0,6.112e-06,none,-1.000000e+00
axpy,cd,16384,0,0,6.464e-06,none,-1.000000e+00
axpy,cd,65536,0,0,7.584e-06,none,-1.000000e+00
axpy,cd,262144,0,0,1.264e-05,none,-1.000000e+00
axpy,cd,1048576,0,0,0.00011232,none,-1.000000e+00
axpy,cf,4096,0,0,5.968e-06,none,-1.000000e+00
axpy,cf,16384,0,0,6e-06,none,-1.000000e+00
axpy,cf,65536,0,0,6.944e-06,none,-1.000000e+00
axpy,cf,262144,0,0,9.296e-06,none,-1.000000e+00
axpy,cf,1048576,0,0,3.2064e-05,none,-1.000000e+00
axpy,cdd,4096,0,0,8.496e-06,none,-1.000000e+00
axpy,cdd,16384,0,0,1.36e-05,none,-1.000000e+00
axpy,cdd,65536,0,0,3.5056e-05,none,-1.000000e+00
axpy,cdd,262144,0,0,0.000123456,none,-1.000000e+00
axpy,cdd,1048576,0,0,0.000478847,none,-1.000000e+00
axpy,ctd,4096,0,0,1.6768e-05,none,-1.000000e+00
axpy,ctd,16384,0,0,3.7216e-05,none,-1.000000e+00
axpy,ctd,65536,0,0,0.000129759,none,-1.000000e+00
axpy,ctd,262144,0,0,0.000502079,none,-1.000000e+00
axpy,ctd,1048576,0,0,0.001986633,none,-1.000000e+00
axpy,cqd,4096,0,0,3.1152e-05,none,-1.000000e+00
axpy,cqd,16384,0,0,7.9952e-05,none,-1.000000e+00
axpy,cqd,65536,0,0,0.000300303,none,-1.000000e+00
axpy,cqd,262144,0,0,0.001185484,none,-1.000000e+00
axpy,cqd,1048576,0,0,0.004718928,none,-1.000000e+00
axpy,cds,4096,0,0,5.952e-06,none,-1.000000e+00
axpy,cds,16384,0,0,6.112e-06,none,-1.000000e+00
axpy,cds,65536,0,0,7.28e-06,none,-1.000000e+00
axpy,cds,262144,0,0,1.1408e-05,none,-1.000000e+00
axpy,cds,1048576,0,0,0.000113311,none,-1.000000e+00
axpy,cts,4096,0,0,6.224e-06,none,-1.000000e+00
axpy,cts,16384,0,0,6.592e-06,none,-1.000000e+00
axpy,cts,65536,0,0,9.12e-06,none,-1.000000e+00
axpy,cts,262144,0,0,1.7984e-05,none,-1.000000e+00
axpy,cts,1048576,0,0,0.000221311,none,-1.000000e+00
axpy,cqs,4096,0,0,6.784e-06,none,-1.000000e+00
axpy,cqs,16384,0,0,7.36e-06,none,-1.000000e+00
axpy,cqs,65536,0,0,1.1424e-05,none,-1.000000e+00
axpy,cqs,262144,0,0,3.0624e-05,none,-1.000000e+00
axpy,cqs,1048576,0,0,0.000298063,none,-1.000000e+00
