prec,backend,fma,family,dim,maxrelerr
dd,sve2,fma,hilbert,24,1.836697e+01
dd,sve2,fma,hilbert,26,4.129072e+01
dd,sve2,fma,hilbert,28,8.609478e+02
dd,sve2,fma,hilbert,30,8.894934e+01
dd,sve2,fma,hilbert,32,2.707327e+01
dd,sve2,fma,hilbert,34,8.821965e+02
dd,sve2,fma,hilbert,36,1.631582e+02
dd,sve2,fma,hilbert,38,9.479090e+01
dd,sve2,fma,hilbert,40,4.243023e+02
td,serial,nofma,hilbert,2,2.052683e-48
td,serial,nofma,hilbert,4,7.529927e-46
td,serial,nofma,hilbert,6,5.982937e-42
td,serial,nofma,hilbert,8,2.502539e-40
td,serial,nofma,hilbert,10,3.467190e-36
td,serial,nofma,hilbert,12,8.594263e-34
td,serial,nofma,hilbert,14,1.945791e-31
td,serial,nofma,hilbert,16,2.505415e-27
td,serial,nofma,hilbert,18,3.576306e-25
td,serial,nofma,hilbert,20,1.188336e-21
td,serial,nofma,hilbert,22,1.719206e-18
td,serial,nofma,hilbert,24,7.517756e-16
td,serial,nofma,hilbert,26,3.140102e-12
td,serial,nofma,hilbert,28,3.065840e-11
td,serial,nofma,hilbert,30,3.346850e-06
td,serial,nofma,hilbert,32,8.148194e-04
td,serial,nofma,hilbert,34,4.395628e+00
td,serial,nofma,hilbert,36,4.305128e+01
td,serial,nofma,hilbert,38,3.621265e+02
td,serial,nofma,hilbert,40,4.189726e+01
td,serial,fma,hilbert,2,2.052683e-48
td,serial,fma,hilbert,4,3.099552e-45
td,serial,fma,hilbert,6,5.800125e-42
td,serial,fma,hilbert,8,1.073095e-39
td,serial,fma,hilbert,10,8.766693e-36
td,serial,fma,hilbert,12,1.944656e-33
td,serial,fma,hilbert,14,2.212597e-30
td,serial,fma,hilbert,16,4.429546e-27
td,serial,fma,hilbert,18,2.669430e-24
td,serial,fma,hilbert,20,4.239916e-22
td,serial,fma,hilbert,22,5.572377e-19
td,serial,fma,hilbert,24,1.962307e-15
td,serial,fma,hilbert,26,4.154849e-12
td,serial,fma,hilbert,28,2.876207e-09
td,serial,fma,hilbert,30,9.938311e-06
td,serial,fma,hilbert,32,7.446932e-03
td,serial,fma,hilbert,34,1.854343e+01
td,serial,fma,hilbert,36,1.799956e+02
td,serial,fma,hilbert,38,4.329911e+01
td,serial,fma,hilbert,40,1.516303e+02
td,neon,nofma,hilbert,2,2.052683e-48
td,neon,nofma,hilbert,4,7.529927e-46
td,neon,nofma,hilbert,6,5.991769e-42
td,neon,nofma,hilbert,8,1.070724e-40
td,neon,nofma,hilbert,10,3.606360e-36
td,neon,nofma,hilbert,12,6.509784e-34
td,neon,nofma,hilbert,14,3.708337e-31
td,neon,nofma,hilbert,16,2.405697e-27
td,neon,nofma,hilbert,18,4.473939e-25
td,neon,nofma,hilbert,20,1.009573e-21
td,neon,nofma,hilbert,22,1.447423e-18
td,neon,nofma,hilbert,24,1.721192e-15
td,neon,nofma,hilbert,26,4.048211e-12
td,neon,nofma,hilbert,28,3.379614e-10
td,neon,nofma,hilbert,30,3.799387e-06
td,neon,nofma,hilbert,32,3.073714e-04
td,neon,nofma,hilbert,34,4.089224e+00
td,neon,nofma,hilbert,36,1.922303e+01
td,neon,nofma,hilbert,38,1.594807e+01
td,neon,nofma,hilbert,40,2.198005e+01
td,neon,fma,hilbert,2,2.052683e-48
td,neon,fma,hilbert,4,8.210733e-46
td,neon,fma,hilbert,6,5.833652e-42
td,neon,fma,hilbert,8,1.059632e-39
td,neon,fma,hilbert,10,4.003557e-36
td,neon,fma,hilbert,12,6.049248e-34
td,neon,fma,hilbert,14,2.607548e-30
td,neon,fma,hilbert,16,3.864492e-27
td,neon,fma,hilbert,18,1.774196e-24
td,neon,fma,hilbert,20,7.771840e-22
td,neon,fma,hilbert,22,6.072364e-18
td,neon,fma,hilbert,24,7.505634e-15
td,neon,fma,hilbert,26,7.432155e-12
td,neon,fma,hilbert,28,3.416175e-10
td,neon,fma,hilbert,30,5.529078e-06
td,neon,fma,hilbert,32,7.118118e-03
td,neon,fma,hilbert,34,1.717866e+00
td,neon,fma,hilbert,36,1.189726e+02
td,neon,fma,hilbert,38,3.799195e+01
td,neon,fma,hilbert,40,6.158163e+01
td,sve2,nofma,hilbert,2,2.052683e-48
td,sve2,nofma,hilbert,4,7.529927e-46
td,sve2,nofma,hilbert,6,5.991769e-42
td,sve2,nofma,hilbert,8,1.070724e-40
td,sve2,nofma,hilbert,10,3.606360e-36
td,sve2,nofma,hilbert,12,6.509784e-34
td,sve2,nofma,hilbert,14,3.708337e-31
td,sve2,nofma,hilbert,16,2.405697e-27
td,sve2,nofma,hilbert,18,4.473939e-25
td,sve2,nofma,hilbert,20,1.009573e-21
td,sve2,nofma,hilbert,22,1.447423e-18
td,sve2,nofma,hilbert,24,1.721192e-15
td,sve2,nofma,hilbert,26,4.048211e-12
td,sve2,nofma,hilbert,28,3.379614e-10
td,sve2,nofma,hilbert,30,3.799387e-06
td,sve2,nofma,hilbert,32,3.073714e-04
td,sve2,nofma,hilbert,34,4.089224e+00
td,sve2,nofma,hilbert,36,1.922303e+01
td,sve2,nofma,hilbert,38,1.594807e+01
td,sve2,nofma,hilbert,40,2.198005e+01
td,sve2,fma,hilbert,2,2.052683e-48
td,sve2,fma,hilbert,4,8.210733e-46
td,sve2,fma,hilbert,6,5.833652e-42
td,sve2,fma,hilbert,8,1.059632e-39
td,sve2,fma,hilbert,10,4.003557e-36
td,sve2,fma,hilbert,12,6.049248e-34
td,sve2,fma,hilbert,14,2.607548e-30
td,sve2,fma,hilbert,16,3.864492e-27
td,sve2,fma,hilbert,18,1.774196e-24
td,sve2,fma,hilbert,20,7.771840e-22
td,sve2,fma,hilbert,22,6.072364e-18
td,sve2,fma,hilbert,24,7.505634e-15
td,sve2,fma,hilbert,26,7.432155e-12
td,sve2,fma,hilbert,28,3.416175e-10
td,sve2,fma,hilbert,30,5.529078e-06
td,sve2,fma,hilbert,32,7.118118e-03
td,sve2,fma,hilbert,34,1.717866e+00
td,sve2,fma,hilbert,36,1.189726e+02
td,sve2,fma,hilbert,38,3.799195e+01
td,sve2,fma,hilbert,40,6.158163e+01
qd,serial,nofma,hilbert,2,1.139468e-64
qd,serial,nofma,hilbert,4,7.820935e-62
qd,serial,nofma,hilbert,6,2.634360e-58
qd,serial,nofma,hilbert,8,2.567292e-55
qd,serial,nofma,hilbert,10,2.124464e-52
qd,serial,nofma,hilbert,12,2.338112e-49
qd,serial,nofma,hilbert,14,1.669302e-46
qd,serial,nofma,hilbert,16,1.882758e-43
qd,serial,nofma,hilbert,18,6.016553e-41
qd,serial,nofma,hilbert,20,1.280774e-37
qd,serial,nofma,hilbert,22,1.575758e-35
qd,serial,nofma,hilbert,24,2.882790e-31
qd,serial,nofma,hilbert,26,7.986948e-29
qd,serial,nofma,hilbert,28,1.335955e-25
qd,serial,nofma,hilbert,30,2.829362e-22
qd,serial,nofma,hilbert,32,6.391985e-20
qd,serial,nofma,hilbert,34,4.347133e-16
qd,serial,nofma,hilbert,36,4.079620e-13
qd,serial,nofma,hilbert,38,3.477653e-10
qd,serial,nofma,hilbert,40,5.515033e-07
qd,serial,fma,hilbert,2,1.139468e-64
qd,serial,fma,hilbert,4,1.147035e-62
qd,serial,fma,hilbert,6,4.868753e-58
qd,serial,fma,hilbert,8,8.013281e-56
qd,serial,fma,hilbert,10,3.584515e-52
qd,serial,fma,hilbert,12,9.479996e-50
qd,serial,fma,hilbert,14,2.752811e-46
qd,serial,fma,hilbert,16,5.322960e-43
qd,serial,fma,hilbert,18,3.375113e-40
qd,serial,fma,hilbert,20,3.229889e-37
qd,serial,fma,hilbert,22,1.599843e-34
qd,serial,fma,hilbert,24,1.757804e-32
qd,serial,fma,hilbert,26,1.236623e-28
qd,serial,fma,hilbert,28,3.299848e-25
