kind,prec,backend,algo,dim,value
time,qd,sve2,strassen,1024,7.384589378e+00
time,qd,sve2,winograd,1024,6.899293119e+00
time,float,serial,triple,256,8.322912145e-04
time,float,serial,block,256,1.421340887e-03
time,float,serial,strassen,256,1.097549410e-03
time,float,serial,winograd,256,1.368066274e-03
time,float,serial,triple,512,6.736911469e-03
time,float,serial,block,512,1.143651600e-02
time,float,serial,strassen,512,7.704917443e-03
time,float,serial,winograd,512,9.604534120e-03
time,float,serial,triple,1024,6.166443601e-02
time,float,serial,block,1024,9.345806809e-02
time,float,serial,strassen,1024,5.599900277e-02
time,float,serial,winograd,1024,6.451001950e-02
time,float,neon,triple,256,6.846787182e-04
time,float,neon,block,256,1.425724306e-03
time,float,neon,strassen,256,1.077049244e-03
time,float,neon,winograd,256,1.310780726e-03
time,float,neon,triple,512,5.691429615e-03
time,float,neon,block,512,1.224889225e-02
time,float,neon,strassen,512,7.755153551e-03
time,float,neon,winograd,512,9.455868756e-03
time,float,neon,triple,1024,5.463147524e-02
time,float,neon,block,1024,9.430767223e-02
time,float,neon,strassen,1024,5.645497947e-02
time,float,neon,winograd,1024,6.488410477e-02
time,float,sve2,triple,256,6.841714412e-04
time,float,sve2,block,256,1.288126003e-03
time,float,sve2,strassen,256,9.987189696e-04
time,float,sve2,winograd,256,1.285845527e-03
time,float,sve2,triple,512,5.755228311e-03
time,float,sve2,block,512,1.053910266e-02
time,float,sve2,strassen,512,7.092648972e-03
time,float,sve2,winograd,512,9.036920586e-03
time,float,sve2,triple,1024,5.415555998e-02
time,float,sve2,block,1024,9.029262699e-02
time,float,sve2,strassen,1024,5.148996878e-02
time,float,sve2,winograd,1024,6.007944944e-02
time,ds,serial,triple,256,6.301330018e-02
time,ds,serial,block,256,4.966283747e-02
time,ds,serial,strassen,256,3.618730896e-02
time,ds,serial,winograd,256,3.694877576e-02
time,ds,serial,triple,512,5.236754892e-01
time,ds,serial,block,512,3.982004458e-01
time,ds,serial,strassen,512,2.622785992e-01
time,ds,serial,winograd,512,2.572729103e-01
time,ds,serial,triple,1024,4.168738170e+00
time,ds,serial,block,1024,3.187738641e+00
time,ds,serial,strassen,1024,1.865780100e+00
time,ds,serial,winograd,1024,1.798348888e+00
time,ds,sve2,triple,256,1.639763670e-02
time,ds,sve2,block,256,1.379344933e-02
time,ds,sve2,strassen,256,1.260632669e-02
time,ds,sve2,winograd,256,1.257881886e-02
time,ds,sve2,triple,512,1.315920614e-01
time,ds,sve2,block,512,1.083964845e-01
time,ds,sve2,strassen,512,9.633046703e-02
time,ds,sve2,winograd,512,9.502118477e-02
time,ds,sve2,triple,1024,1.067826084e+00
time,ds,sve2,block,1024,8.701738957e-01
time,ds,sve2,strassen,1024,6.584657510e-01
time,ds,sve2,winograd,1024,6.158774938e-01
time,ts,serial,triple,256,2.611019639e-01
time,ts,serial,block,256,2.805198939e-01
time,ts,serial,strassen,256,2.279050071e-01
time,ts,serial,winograd,256,2.252159468e-01
time,ts,serial,triple,512,1.958453699e+00
time,ts,serial,block,512,2.240599315e+00
time,ts,serial,strassen,512,1.551258544e+00
time,ts,serial,winograd,512,1.551775389e+00
time,ts,serial,triple,1024,1.710769889e+01
time,ts,serial,block,1024,1.797022967e+01
time,ts,serial,strassen,1024,1.057834108e+01
time,ts,serial,winograd,1024,1.039076403e+01
time,ts,sve2,triple,256,4.886379401e-02
time,ts,sve2,block,256,5.106936931e-02
time,ts,sve2,strassen,256,4.684278450e-02
time,ts,sve2,winograd,256,4.597839800e-02
time,ts,sve2,triple,512,4.230773151e-01
time,ts,sve2,block,512,4.119655672e-01
time,ts,sve2,strassen,512,3.607548797e-01
time,ts,sve2,winograd,512,3.472184390e-01
time,ts,sve2,triple,1024,3.537900544e+00
time,ts,sve2,block,1024,3.306701376e+00
time,ts,sve2,strassen,1024,2.486432221e+00
time,ts,sve2,winograd,1024,2.318645704e+00
time,qs,serial,triple,256,8.357778662e-01
time,qs,serial,block,256,8.802438369e-01
time,qs,serial,strassen,256,6.730587264e-01
time,qs,serial,winograd,256,6.678441893e-01
time,qs,serial,triple,512,6.640613877e+00
time,qs,serial,block,512,7.035832138e+00
time,qs,serial,strassen,512,4.790142217e+00
time,qs,serial,winograd,512,4.717806610e+00
time,qs,serial,triple,1024,5.572615593e+01
time,qs,serial,block,1024,5.621204795e+01
time,qs,serial,strassen,1024,3.343209506e+01
time,qs,serial,winograd,1024,3.324376166e+01
time,qs,sve2,triple,256,8.388395375e-02
time,qs,sve2,block,256,8.219104330e-02
time,qs,sve2,strassen,256,7.868849800e-02
time,qs,sve2,winograd,256,7.499938959e-02
time,qs,sve2,triple,512,7.061120872e-01
time,qs,sve2,block,512,6.579901888e-01
time,qs,sve2,strassen,512,6.002380964e-01
time,qs,sve2,winograd,512,5.386673249e-01
time,qs,sve2,triple,1024,6.408731593e+00
time,qs,sve2,block,1024,5.361162291e+00
time,qs,sve2,strassen,1024,4.295316394e+00
time,qs,sve2,winograd,1024,4.053917531e+00
acc,double,serial,triple,256,1.691391e-15
acc,double,serial,block,256,3.962074e-16
acc,double,serial,strassen,256,8.556539e-15
acc,double,serial,winograd,256,2.348859e-15
acc,dd,serial,triple,256,1.510638e-31
acc,dd,serial,block,256,3.586080e-32
acc,dd,serial,strassen,256,6.912855e-31
acc,dd,serial,winograd,256,1.878856e-31
acc,td,serial,triple,256,7.522996e-48
acc,td,serial,block,256,1.570434e-48
acc,td,serial,strassen,256,3.234986e-47
acc,td,serial,winograd,256,8.258903e-48
acc,qd,serial,triple,256,3.800538e-64
acc,qd,serial,block,256,1.216923e-64
acc,qd,serial,strassen,256,1.713277e-63
acc,qd,serial,winograd,256,5.736643e-64
acc,float,serial,triple,256,7.181545e-07
acc,float,serial,block,256,7.181545e-07
acc,float,serial,strassen,256,4.502598e-06
acc,float,serial,winograd,256,2.466134e-07
acc,ds,serial,triple,256,4.016929e-14
acc,ds,serial,block,256,9.526540e-15
acc,ds,serial,strassen,256,1.586191e-13
acc,ds,serial,winograd,256,6.134252e-14
acc,ts,serial,triple,256,5.733773e-22
acc,ts,serial,block,256,1.189659e-22
acc,ts,serial,strassen,256,2.187807e-21
acc,ts,serial,winograd,256,6.742263e-22
acc,qs,serial,triple,256,1.135450e-29
acc,qs,serial,block,256,3.035002e-30
acc,qs,serial,strassen,256,5.147252e-29
acc,qs,serial,winograd,256,1.617963e-29
time,ds,neon,triple,256,1.560869336e-02
time,ds,neon,block,256,1.316868988e-02
