kind,prec,backend,algo,dim,value
time,qd,avx512,triple,1024,2.147246969e+01
time,qd,avx512,block,1024,1.185020851e+01
time,qd,avx512,strassen,1024,8.075295977e+00
time,qd,avx512,winograd,1024,7.638877101e+00
time,float,serial,triple,256,1.739783300e-03
time,float,serial,block,256,3.186665068e-03
time,float,serial,strassen,256,1.400376845e-03
time,float,serial,winograd,256,1.620358118e-03
time,float,serial,triple,512,1.345184213e-02
time,float,serial,block,512,2.991704131e-02
time,float,serial,strassen,512,1.470611664e-02
time,float,serial,winograd,512,1.627664571e-02
time,float,serial,triple,1024,1.223836355e-01
time,float,serial,block,1024,1.732953638e-01
time,float,serial,strassen,1024,7.233061176e-02
time,float,serial,winograd,1024,7.534602471e-02
time,float,avx2,triple,256,1.074655403e-03
time,float,avx2,block,256,1.794127747e-03
time,float,avx2,strassen,256,1.300719348e-03
time,float,avx2,winograd,256,1.720922097e-03
time,float,avx2,triple,512,1.180930552e-02
time,float,avx2,block,512,1.498376322e-02
time,float,avx2,strassen,512,9.033212322e-03
time,float,avx2,winograd,512,1.148128242e-02
time,float,avx2,triple,1024,1.067780238e-01
time,float,avx2,block,1024,1.305886377e-01
time,float,avx2,strassen,1024,6.821838021e-02
time,float,avx2,winograd,1024,7.999089547e-02
time,float,avx512,triple,256,1.103515606e-03
time,float,avx512,block,256,1.289821361e-03
time,float,avx512,strassen,256,1.074275831e-03
time,float,avx512,winograd,256,1.292473724e-03
time,float,avx512,triple,512,7.727178279e-03
time,float,avx512,block,512,1.448050025e-02
time,float,avx512,strassen,512,6.213019544e-03
time,float,avx512,winograd,512,8.869639947e-03
time,float,avx512,triple,1024,1.050906647e-01
time,float,avx512,block,1024,1.242613718e-01
time,float,avx512,strassen,1024,5.809838884e-02
time,float,avx512,winograd,1024,6.110015139e-02
time,ds,serial,triple,256,8.600415755e-02
time,ds,serial,block,256,7.337967772e-02
time,ds,serial,strassen,256,5.283026583e-02
time,ds,serial,winograd,256,5.284797028e-02
time,ds,serial,triple,512,7.341174074e-01
time,ds,serial,block,512,5.872617178e-01
time,ds,serial,strassen,512,3.739278466e-01
time,ds,serial,winograd,512,3.706522919e-01
time,ds,serial,triple,1024,7.267657183e+00
time,ds,serial,block,1024,4.701850057e+00
time,ds,serial,strassen,1024,2.613499537e+00
time,ds,serial,winograd,1024,2.558772825e+00
time,ds,avx2,triple,256,3.056475194e-02
time,ds,avx2,block,256,2.237514127e-02
time,ds,avx2,strassen,256,1.868993882e-02
time,ds,avx2,winograd,256,1.870625583e-02
time,ds,avx2,triple,512,4.681967944e-01
time,ds,avx2,block,512,1.795160398e-01
time,ds,avx2,strassen,512,1.307967044e-01
time,ds,avx2,winograd,512,1.310124937e-01
time,ds,avx2,triple,1024,6.600945003e+00
time,ds,avx2,block,1024,1.447993275e+00
time,ds,avx2,strassen,1024,9.407354668e-01
time,ds,avx2,winograd,1024,8.835407831e-01
time,ds,avx512,triple,256,3.481923044e-02
time,ds,avx512,block,256,6.164073385e-02
time,ds,avx512,strassen,256,4.502862506e-02
time,ds,avx512,winograd,256,4.508756334e-02
time,ds,avx512,triple,512,4.591656178e-01
time,ds,avx512,block,512,4.944554493e-01
time,ds,avx512,strassen,512,3.193478063e-01
time,ds,avx512,winograd,512,2.997142710e-01
time,ds,avx512,triple,1024,6.676489919e+00
time,ds,avx512,block,1024,3.966491524e+00
time,ds,avx512,strassen,1024,2.227168381e+00
time,ds,avx512,winograd,1024,2.166462701e+00
time,ts,serial,triple,256,3.667463511e-01
time,ts,serial,block,256,4.025640897e-01
time,ts,serial,strassen,256,3.389232978e-01
time,ts,serial,winograd,256,3.373103738e-01
time,ts,serial,triple,512,4.111672059e+00
time,ts,serial,block,512,3.220741868e+00
time,ts,serial,strassen,512,2.323705159e+00
time,ts,serial,winograd,512,2.330182601e+00
