backend,nthreads,family,type,bits,N,seconds,iters,mflops
avx512,1,mpfr,mpfr106,106,1048576,3.280619e-02,16,63.9255
avx512,1,mpfr,mpfr159,159,1048576,4.217049e-02,8,49.7303
avx512,1,mpfr,mpfr212,212,1048576,5.714801e-02,8,36.6969
avx512,1,float-based,float,24,4194304,1.657628e-03,256,5060.6081
avx512,1,double-based,double,53,4194304,4.447805e-03,128,1886.0108
avx512,1,double-based,dd,106,4194304,9.891845e-03,32,848.0327
avx512,1,double-based,td,159,4194304,1.679172e-02,32,499.5682
avx512,1,double-based,qd,212,4194304,2.762949e-02,16,303.6106
avx512,1,float-based,ds,48,4194304,4.801206e-03,64,1747.1876
avx512,1,float-based,ts,72,4194304,7.659625e-03,64,1095.1721
avx512,1,float-based,qs,96,4194304,1.084447e-02,32,773.5379
avx512,1,mpfr,mpfr24,24,4194304,1.257635e-01,4,66.7014
avx512,1,mpfr,mpfr48,48,4194304,1.253810e-01,4,66.9049
avx512,1,mpfr,mpfr53,53,4194304,1.254653e-01,4,66.8600
avx512,1,mpfr,mpfr72,72,4194304,1.319582e-01,4,63.5702
avx512,1,mpfr,mpfr96,96,4194304,1.323748e-01,4,63.3701
avx512,1,mpfr,mpfr106,106,4194304,1.327420e-01,4,63.1948
avx512,1,mpfr,mpfr159,159,4194304,1.684899e-01,2,49.7870
avx512,1,mpfr,mpfr212,212,4194304,2.302175e-01,2,36.4378
avx512,32,float-based,float,24,4096,6.244474e-06,65536,1311.8799
avx512,32,double-based,double,53,4096,6.255294e-06,65536,1309.6108
avx512,32,double-based,dd,106,4096,6.240647e-06,65536,1312.6844
avx512,32,double-based,td,159,4096,6.470978e-06,65536,1265.9600
avx512,32,double-based,qd,212,4096,6.700899e-06,65536,1222.5226
avx512,32,float-based,ds,48,4096,6.205566e-06,65536,1320.1052
avx512,32,float-based,ts,72,4096,7.120849e-06,65536,1150.4247
avx512,32,float-based,qs,96,4096,6.555954e-06,65536,1249.5511
avx512,32,mpfr,mpfr24,24,4096,1.136755e-05,32768,720.6479
avx512,32,mpfr,mpfr48,48,4096,2.492956e-05,16384,328.6059
avx512,32,mpfr,mpfr53,53,4096,2.661218e-05,16384,307.8290
avx512,32,mpfr,mpfr72,72,4096,2.976367e-05,16384,275.2349
avx512,32,mpfr,mpfr96,96,4096,2.594800e-05,16384,315.7083
avx512,32,mpfr,mpfr106,106,4096,2.945612e-05,16384,278.1086
avx512,32,mpfr,mpfr159,159,4096,2.469355e-05,16384,331.7465
avx512,32,mpfr,mpfr212,212,4096,1.517950e-05,32768,539.6751
avx512,32,float-based,float,24,16384,6.471666e-06,65536,5063.3021
avx512,32,double-based,double,53,16384,6.393111e-06,65536,5125.5171
avx512,32,double-based,dd,106,16384,6.562728e-06,65536,4993.0454
avx512,32,double-based,td,159,16384,7.679428e-06,65536,4266.9847
avx512,32,double-based,qd,212,16384,8.849165e-06,65536,3702.9482
avx512,32,float-based,ds,48,16384,6.749346e-06,65536,4854.9892
avx512,32,float-based,ts,72,16384,8.171097e-06,65536,4010.2327
avx512,32,float-based,qs,96,16384,7.758103e-06,65536,4223.7132
avx512,32,mpfr,mpfr24,24,16384,2.443243e-05,16384,1341.1681
avx512,32,mpfr,mpfr48,48,16384,2.420557e-05,16384,1353.7381
avx512,32,mpfr,mpfr53,53,16384,8.155173e-05,4096,401.8063
avx512,32,mpfr,mpfr72,72,16384,9.537768e-05,4096,343.5605
avx512,32,mpfr,mpfr96,96,16384,8.698611e-05,4096,376.7038
avx512,32,mpfr,mpfr106,106,16384,9.513355e-05,4096,344.4421
avx512,32,mpfr,mpfr159,159,16384,9.814993e-05,4096,333.8566
avx512,32,mpfr,mpfr212,212,16384,3.903310e-05,8192,839.4927
avx512,32,float-based,float,24,65536,6.797865e-06,65536,19281.3469
avx512,32,double-based,double,53,65536,6.992293e-06,65536,18745.2086
avx512,32,double-based,dd,106,65536,7.457689e-06,65536,17575.4173
avx512,32,double-based,td,159,65536,1.125549e-05,32768,11645.1598
avx512,32,double-based,qd,212,65536,1.702679e-05,32768,7697.9872
avx512,32,float-based,ds,48,65536,6.801834e-06,65536,19270.0958
avx512,32,float-based,ts,72,65536,9.694057e-06,32768,13520.8618
avx512,32,float-based,qs,96,65536,1.209549e-05,32768,10836.4324
avx512,32,mpfr,mpfr24,24,65536,7.537229e-05,4096,1738.9946
avx512,32,mpfr,mpfr48,48,65536,2.980079e-04,1024,439.8273
avx512,32,mpfr,mpfr53,53,65536,7.543794e-05,4096,1737.4811
avx512,32,mpfr,mpfr72,72,65536,3.187510e-04,1024,411.2050
avx512,32,mpfr,mpfr96,96,65536,4.009376e-04,1024,326.9137
avx512,32,mpfr,mpfr106,106,65536,3.188243e-04,1024,411.1104
avx512,32,mpfr,mpfr159,159,65536,2.949198e-04,1024,444.4327
avx512,32,mpfr,mpfr212,212,65536,5.644551e-04,1024,232.2098
avx512,32,float-based,float,24,262144,7.034239e-06,65536,74533.7159
avx512,32,double-based,double,53,262144,8.476381e-06,65536,61852.8084
avx512,32,double-based,dd,106,262144,1.156348e-05,32768,45340.0010
avx512,32,double-based,td,159,262144,2.627618e-05,16384,19952.9802
avx512,32,double-based,qd,212,262144,4.891210e-05,8192,10718.9834
avx512,32,float-based,ds,48,262144,9.676485e-06,32768,54181.6568
avx512,32,float-based,ts,72,262144,1.863512e-05,16384,28134.3976
avx512,32,float-based,qs,96,262144,2.947912e-05,16384,17785.0602
avx512,32,mpfr,mpfr24,24,262144,2.862549e-04,2048,1831.5423
avx512,32,mpfr,mpfr48,48,262144,1.450289e-03,256,361.5059
avx512,32,mpfr,mpfr53,53,262144,2.857387e-04,2048,1834.8510
avx512,32,mpfr,mpfr72,72,262144,1.389367e-03,256,377.3576
avx512,32,mpfr,mpfr96,96,262144,1.354640e-03,256,387.0311
avx512,32,mpfr,mpfr106,106,262144,1.387454e-03,256,377.8779
avx512,32,mpfr,mpfr159,159,262144,1.220523e-03,256,429.5600
avx512,32,mpfr,mpfr212,212,262144,2.205981e-03,256,237.6666
avx512,32,float-based,float,24,1048576,9.982235e-06,32768,210088.4116
avx512,32,double-based,double,53,1048576,1.327576e-05,32768,157968.5566
avx512,32,double-based,dd,106,1048576,2.605915e-05,16384,80476.6149
avx512,32,double-based,td,159,1048576,9.412813e-05,4096,22279.7579
avx512,32,double-based,qd,212,1048576,1.896865e-04,2048,11055.8818
avx512,32,float-based,ds,48,1048576,1.593997e-05,32768,131565.6055
avx512,32,float-based,ts,72,1048576,5.044445e-05,8192,41573.4957
avx512,32,float-based,qs,96,1048576,9.775336e-05,4096,21453.5022
avx512,32,mpfr,mpfr24,24,1048576,1.213796e-03,256,1727.7625
avx512,32,mpfr,mpfr48,48,1048576,4.569570e-03,128,458.9386
avx512,32,mpfr,mpfr53,53,1048576,1.150908e-03,512,1822.1711
avx512,32,mpfr,mpfr72,72,1048576,5.281344e-03,64,397.0868
avx512,32,mpfr,mpfr96,96,1048576,4.796781e-03,64,437.1999
avx512,32,mpfr,mpfr106,106,1048576,5.569063e-03,64,376.5718
avx512,32,mpfr,mpfr159,159,1048576,1.567102e-03,256,1338.2358
avx512,32,mpfr,mpfr212,212,1048576,2.153734e-03,256,973.7285
avx512,32,float-based,float,24,4194304,2.319769e-05,16384,361613.9634
avx512,32,double-based,double,53,4194304,1.422534e-04,4096,58969.4680
avx512,32,double-based,dd,106,4194304,8.725040e-04,512,9614.4067
avx512,32,double-based,td,159,4194304,1.700695e-03,256,4932.4597
avx512,32,double-based,qd,212,4194304,2.576398e-03,128,3255.9445
avx512,32,float-based,ds,48,4194304,1.485503e-04,2048,56469.8312
avx512,32,float-based,ts,72,4194304,3.932617e-04,1024,21330.8560
avx512,32,float-based,qs,96,4194304,8.707754e-04,512,9633.4918
avx512,32,mpfr,mpfr24,24,4194304,5.643748e-03,64,1486.3542
avx512,32,mpfr,mpfr48,48,4194304,2.253588e-02,16,372.2335
avx512,32,mpfr,mpfr53,53,4194304,5.001657e-03,64,1677.1659
avx512,32,mpfr,mpfr72,72,4194304,2.073406e-02,16,404.5811
avx512,32,mpfr,mpfr96,96,4194304,2.098767e-02,16,399.6921
avx512,32,mpfr,mpfr106,106,4194304,2.181819e-02,16,384.4777
avx512,32,mpfr,mpfr159,159,4194304,6.748140e-03,64,1243.0993
avx512,32,mpfr,mpfr212,212,4194304,3.313476e-02,16,253.1664
