backend,type,op,N,seconds,iters,mflops
avx2,cd,axpy,512,5.583097e-07,524288,1834.1075
avx2,cd,matvec,512,2.807390e-04,1024,1867.5279
avx2,cd,matmul,512,3.422170e-01,1,784.4014
avx2,cd,spmv,512,1.305956e-04,2048,54.7032
avx2,cdd,axpy,512,3.480469e-06,65536,294.2132
avx2,cdd,matvec,512,2.166906e-03,128,241.9523
avx2,cdd,matmul,512,1.804842e+00,1,148.7307
avx2,cdd,spmv,512,2.133332e-04,1024,33.4875
avx2,ctd,axpy,512,7.548857e-06,32768,135.6497
avx2,ctd,matvec,512,4.742451e-03,64,110.5521
avx2,ctd,matmul,512,3.526185e+00,1,76.1263
avx2,ctd,spmv,512,4.406115e-04,512,16.2138
avx2,cqd,axpy,512,1.569299e-05,16384,65.2521
avx2,cqd,matvec,512,8.826531e-03,32,59.3991
avx2,cqd,matmul,512,6.632247e+00,1,40.4743
avx2,cqd,spmv,512,6.518555e-04,512,10.9595
avx2,cd,axpy,1024,6.936302e-07,524288,2952.5818
avx2,cd,matvec,1024,1.086055e-03,256,1930.9809
avx2,cd,matmul,1024,3.109817e+00,1,690.5498
avx2,cd,spmv,1024,2.615070e-04,1024,54.7289
avx2,cdd,axpy,1024,6.804083e-06,32768,300.9958
avx2,cdd,matvec,1024,1.014556e-02,32,206.7064
avx2,cdd,matmul,1024,1.655635e+01,1,129.7075
avx2,cdd,spmv,1024,4.262659e-04,512,33.5753
avx2,ctd,axpy,1024,2.188831e-05,16384,93.5659
avx2,ctd,matvec,1024,2.093038e-02,16,100.1966
avx2,ctd,matmul,1024,3.714448e+01,1,57.8143
avx2,ctd,spmv,1024,8.820780e-04,256,16.2253
avx2,cqd,axpy,1024,3.058373e-05,8192,66.9637
avx2,cqd,matvec,1024,3.767163e-02,8,55.6693
avx2,cqd,matmul,1024,8.257045e+01,1,26.0079
avx2,cqd,spmv,1024,1.312356e-03,256,10.9056
avx512,cd,axpy,128,8.538132e-08,4194304,2998.3140
avx512,cd,matvec,128,1.698529e-05,16384,1929.1991
avx512,cd,matmul,128,2.158804e-03,128,1942.8833
avx512,cd,spmv,128,5.258521e-05,4096,33.6216
avx512,cdd,axpy,128,6.242503e-07,524288,410.0919
avx512,cdd,matvec,128,5.612843e-05,4096,583.8040
avx512,cdd,matmul,128,1.089869e-02,32,384.8449
avx512,cdd,spmv,128,4.583751e-05,8192,38.5710
avx512,ctd,axpy,128,1.582130e-06,131072,161.8072
avx512,ctd,matvec,128,2.635752e-04,1024,124.3212
avx512,ctd,matmul,128,2.887550e-02,8,145.2548
avx512,ctd,spmv,128,1.216455e-04,2048,14.5340
avx512,cqd,axpy,128,2.998437e-06,131072,85.3778
avx512,cqd,matvec,128,4.327381e-04,512,75.7225
avx512,cqd,matmul,128,4.750302e-02,8,88.2955
avx512,cqd,spmv,128,1.634160e-04,2048,10.8190
avx512,cd,axpy,256,1.750254e-07,2097152,2925.2891
avx512,cd,matvec,256,6.766722e-05,4096,1937.0088
avx512,cd,matmul,256,1.856531e-02,16,1807.3724
avx512,cd,spmv,256,1.061744e-04,2048,33.5297
avx512,cdd,axpy,256,1.025730e-06,262144,499.1567
avx512,cdd,matvec,256,4.855837e-04,512,269.9267
avx512,cdd,matmul,256,7.889122e-02,4,425.3253
avx512,cdd,spmv,256,9.140209e-05,4096,38.9488
avx512,ctd,axpy,256,2.827310e-06,131072,181.0909
avx512,ctd,matvec,256,1.097481e-03,256,119.4299
avx512,ctd,matmul,256,2.156360e-01,1,155.6068
avx512,ctd,spmv,256,2.434943e-04,1024,14.6205
avx512,cqd,axpy,256,5.454360e-06,65536,93.8699
avx512,cqd,matvec,256,1.710843e-03,128,76.6125
avx512,cqd,matmul,256,4.614310e-01,1,72.7182
avx512,cqd,spmv,256,3.269326e-04,1024,10.8891
avx512,cd,axpy,512,3.438588e-07,1048576,2977.9665
avx512,cd,matvec,512,2.818203e-04,1024,1860.3627
avx512,cd,matmul,512,2.968318e-01,1,904.3351
avx512,cd,spmv,512,2.141611e-04,1024,33.3581
avx512,cdd,axpy,512,2.225524e-06,131072,460.1163
avx512,cdd,matvec,512,2.057539e-03,128,254.8131
avx512,cdd,matmul,512,1.930169e+00,1,139.0735
