backend,type,op,N,seconds,iters,mflops
avx2,cqd,matvec,256,2.202749e-03,128,59.5038
avx2,cqd,matmul,256,5.733628e-01,1,58.5222
avx2,cqd,spmv,256,3.239824e-04,1024,10.9882
avx2,cd,axpy,512,3.863070e-07,524288,2650.7417
avx2,cd,matvec,512,2.821963e-04,1024,1857.8838
avx2,cd,matmul,512,4.619350e-01,1,581.1108
avx2,cd,spmv,512,1.481611e-04,2048,48.2178
avx2,cdd,axpy,512,3.144254e-06,65536,325.6734
avx2,cdd,matvec,512,2.150742e-03,128,243.7707
avx2,cdd,matmul,512,1.990400e+00,1,134.8651
avx2,cdd,spmv,512,2.130663e-04,1024,33.5295
avx2,ctd,axpy,512,7.545139e-06,32768,135.7165
avx2,ctd,matvec,512,4.729904e-03,64,110.8454
avx2,ctd,matmul,512,3.498554e+00,1,76.7275
avx2,ctd,spmv,512,4.396797e-04,512,16.2482
avx2,cqd,axpy,512,1.579858e-05,16384,64.8160
avx2,cqd,matvec,512,8.815065e-03,32,59.4764
avx2,cqd,matmul,512,6.444817e+00,1,41.6514
avx2,cqd,spmv,512,6.491463e-04,512,11.0052
avx2,cd,axpy,1024,7.445624e-07,524288,2750.6090
avx2,cd,matvec,1024,1.469684e-03,256,1426.9409
avx2,cd,matmul,1024,5.838558e+00,1,367.8106
avx2,cd,spmv,1024,2.970439e-04,1024,48.1814
avx2,cdd,axpy,1024,6.784394e-06,32768,301.8693
avx2,cdd,matvec,1024,1.009941e-02,32,207.6509
avx2,cdd,matmul,1024,1.696656e+01,1,126.5715
avx2,cdd,spmv,1024,4.267949e-04,512,33.5337
avx2,ctd,axpy,1024,2.205078e-05,16384,92.8765
avx2,ctd,matvec,1024,2.096844e-02,16,100.0147
avx2,ctd,matmul,1024,3.649975e+01,1,58.8356
avx2,ctd,spmv,1024,8.795112e-04,256,16.2727
avx2,cqd,axpy,1024,3.960522e-05,8192,51.7104
avx2,cqd,matvec,1024,3.793585e-02,8,55.2815
avx2,cqd,matmul,1024,8.025900e+01,1,26.7569
avx2,cqd,spmv,1024,1.299527e-03,256,11.0132
avx2,cd,axpy,2048,2.006942e-06,131072,2040.9160
avx2,cd,matvec,2048,7.831313e-03,32,1071.1624
avx2,cd,matmul,2048,4.660133e+01,1,368.6562
avx2,cd,spmv,2048,5.949549e-04,512,48.1515
avx2,cdd,axpy,2048,4.088660e-05,8192,100.1795
avx2,cdd,matvec,2048,5.025250e-02,4,166.9292
avx2,cdd,matmul,2048,2.519730e+02,1,68.1814
avx2,cdd,spmv,2048,8.537732e-04,256,33.5546
avx2,ctd,axpy,2048,1.173720e-04,2048,34.8976
avx2,ctd,matvec,2048,9.154624e-02,4,91.6325
avx2,ctd,matmul,2048,7.307056e+02,1,23.5113
avx2,ctd,spmv,2048,1.781406e-03,128,16.0817
avx2,cqd,axpy,2048,6.710837e-05,4096,61.0356
avx2,cqd,matvec,2048,1.606904e-01,2,52.2035
avx2,cqd,matmul,2048,1.580030e+03,1,10.8731
avx2,cqd,spmv,2048,2.637219e-03,128,10.8630
avx512,cd,axpy,128,1.191258e-07,2097152,2148.9879
avx512,cd,matvec,128,2.024707e-05,16384,1618.4071
avx512,cd,matmul,128,2.154406e-03,128,1946.8492
avx512,cd,spmv,128,5.995238e-05,4096,29.4901
avx512,cdd,axpy,128,9.408832e-07,262144,272.0848
avx512,cdd,matvec,128,7.497164e-05,4096,437.0719
avx512,cdd,matmul,128,1.082140e-02,32,387.5934
avx512,ctd,axpy,128,1.559127e-06,131072,164.1945
avx512,ctd,matvec,128,2.650409e-04,1024,123.6337
avx512,ctd,matmul,128,2.884939e-02,8,145.3862
avx512,cqd,axpy,128,4.193193e-06,65536,61.0513
avx512,cqd,matvec,128,6.172266e-04,512,53.0891
avx512,cqd,matmul,128,4.738489e-02,8,88.5156
avx512,cd,axpy,256,1.759566e-07,2097152,2909.8077
avx512,cd,matvec,256,6.804516e-05,4096,1926.2501
avx512,cd,matmul,256,1.848719e-02,16,1815.0103
avx512,cd,spmv,256,1.206212e-04,2048,29.5139
avx512,cdd,axpy,256,1.368577e-06,262144,374.1113
avx512,cdd,matvec,256,4.872731e-04,512,268.9908
avx512,cdd,matmul,256,7.950652e-02,4,422.0337
avx512,ctd,axpy,256,2.823754e-06,131072,181.3189
avx512,ctd,matvec,256,1.099812e-03,256,119.1767
avx512,ctd,matmul,256,2.137411e-01,1,156.9864
avx512,cqd,axpy,256,7.593539e-06,32768,67.4257
avx512,cqd,matvec,256,1.991555e-03,128,65.8139
avx512,cqd,matmul,256,4.575410e-01,1,73.3365
avx512,cd,axpy,512,4.809935e-07,524288,2128.9267
avx512,cd,matvec,512,2.836788e-04,1024,1848.1750
avx512,cd,matmul,512,2.933059e-01,1,915.2065
avx512,cd,spmv,512,2.419492e-04,1024,29.5269
avx512,cdd,axpy,512,3.201261e-06,65536,319.8739
avx512,cdd,matvec,512,2.167407e-03,128,241.8964
