backend,type,op,N,seconds,iters,mflops
serial,double,matvec,1024,5.087261e-04,512,4122.3597
serial,double,matmul,1024,3.223853e+00,1,666.1233
serial,dd,axpy,1024,2.911782e-06,131072,703.3494
serial,dd,matvec,1024,5.425531e-03,64,386.5339
serial,dd,matmul,1024,7.273537e+00,1,295.2461
serial,td,axpy,1024,1.402918e-05,16384,145.9814
serial,td,matvec,1024,1.481757e-02,16,141.5315
serial,td,matmul,1024,2.577022e+01,1,83.3320
serial,qd,axpy,1024,3.009645e-05,8192,68.0479
serial,qd,matvec,1024,3.009900e-02,8,69.6751
serial,qd,matmul,1024,5.236518e+01,1,41.0098
serial,ds,axpy,1024,2.512345e-06,131072,815.1748
serial,ds,matvec,1024,5.369749e-03,64,390.5494
serial,ds,matmul,1024,7.104996e+00,1,302.2498
serial,ts,axpy,1024,3.154101e-05,8192,64.9313
serial,ts,matvec,1024,2.128813e-02,16,98.5128
serial,ts,matmul,1024,3.112901e+01,1,68.9866
serial,qs,axpy,1024,7.508061e-05,4096,27.2774
serial,qs,matvec,1024,7.473326e-02,4,28.0618
serial,qs,matmul,1024,8.538243e+01,1,25.1514
serial,double,spmv,1024,3.822966e-06,65536,3743.6897
serial,dd,spmv,1024,2.362579e-05,16384,605.7787
serial,td,spmv,1024,1.043662e-04,2048,137.1325
serial,qd,spmv,1024,2.093595e-04,1024,68.3609
serial,float,spmv,1024,3.633544e-06,65536,3938.8541
serial,ds,spmv,1024,2.397913e-05,16384,596.8524
serial,ts,spmv,1024,1.503286e-04,2048,95.2048
serial,qs,spmv,1024,4.847385e-04,512,29.5252
avx2,float,axpy,128,9.250911e-09,33554432,27672.9498
avx2,float,matvec,128,9.027553e-07,262144,36297.7634
avx2,float,matmul,128,8.941451e-04,256,4690.8538
avx2,double,axpy,128,1.771379e-08,16777216,14452.0191
avx2,double,matvec,128,1.643324e-06,131072,19940.0710
avx2,double,matmul,128,1.809727e-03,128,2317.6441
avx2,dd,axpy,128,6.820892e-08,4194304,3753.1748
avx2,dd,matvec,128,1.377014e-05,16384,2379.6413
avx2,dd,matmul,128,2.206663e-03,128,1900.7454
avx2,td,axpy,128,4.069539e-07,524288,629.0639
avx2,td,matvec,128,5.696953e-05,4096,575.1847
avx2,td,matmul,128,9.477220e-03,32,442.5669
avx2,qd,axpy,128,8.956149e-07,262144,285.8371
avx2,qd,matvec,128,1.232437e-04,2048,265.8798
avx2,qd,matmul,128,1.798306e-02,16,233.2363
avx2,ds,axpy,128,3.408942e-08,8388608,7509.6603
avx2,ds,matvec,128,8.380950e-06,32768,3909.8193
avx2,ds,matmul,128,1.945101e-03,128,2156.3428
avx2,ts,axpy,128,1.152504e-06,262144,222.1250
avx2,ts,matvec,128,1.622164e-04,2048,202.0018
avx2,ts,matmul,128,2.411161e-02,16,173.9537
avx2,qs,axpy,128,1.991777e-06,131072,128.5284
avx2,qs,matvec,128,2.871952e-04,1024,114.0966
avx2,qs,matmul,128,3.872111e-02,8,108.3208
avx2,double,spmv,128,4.109743e-07,524288,4301.9724
avx2,dd,spmv,128,1.797127e-06,131072,983.7925
avx2,td,spmv,128,8.850009e-06,32768,199.7738
avx2,qd,spmv,128,1.522350e-05,16384,116.1362
avx2,float,spmv,128,1.647080e-06,131072,1073.4145
avx2,ds,spmv,128,6.580507e-06,32768,268.6723
avx2,ts,spmv,128,2.708755e-05,8192,65.2698
avx2,qs,spmv,128,6.077171e-05,4096,29.0925
avx2,float,axpy,256,1.747586e-08,16777216,29297.5644
avx2,float,matvec,256,3.741898e-06,65536,35028.2160
avx2,float,matmul,256,1.591294e-02,16,2108.6262
avx2,double,axpy,256,3.500341e-08,8388608,14627.1463
avx2,double,matvec,256,7.904266e-06,32768,16582.4386
avx2,double,matmul,256,1.469600e-02,16,2283.2354
avx2,dd,axpy,256,1.362677e-07,2097152,3757.3112
avx2,dd,matvec,256,5.820161e-05,4096,2252.0340
avx2,dd,matmul,256,1.938857e-02,16,1730.6294
avx2,td,axpy,256,8.127781e-07,262144,629.9382
avx2,td,matvec,256,2.171495e-04,1024,603.6026
avx2,td,matmul,256,7.604176e-02,4,441.2632
avx2,qd,axpy,256,1.791190e-06,131072,285.8435
avx2,qd,matvec,256,4.805136e-04,512,272.7748
avx2,qd,matmul,256,1.471205e-01,2,228.0745
avx2,ds,axpy,256,6.813667e-08,4194304,7514.3090
avx2,ds,matvec,256,3.161814e-05,8192,4145.4685
avx2,ds,matmul,256,1.473731e-02,16,2276.8359
avx2,ts,axpy,256,2.295617e-06,131072,223.0337
avx2,ts,matvec,256,6.087245e-04,512,215.3224
avx2,ts,matmul,256,1.823210e-01,2,184.0405
avx2,qs,axpy,256,3.975721e-06,65536,128.7817
avx2,qs,matvec,256,1.065708e-03,256,122.9906
avx2,qs,matmul,256,2.894108e-01,1,115.9405
avx2,double,spmv,256,8.456800e-07,262144,4209.6301
avx2,dd,spmv,256,3.543733e-06,65536,1004.5903
avx2,td,spmv,256,1.769702e-05,16384,201.1638
avx2,qd,spmv,256,3.035340e-05,8192,117.2850
avx2,float,spmv,256,3.289857e-06,65536,1082.1139
avx2,ds,spmv,256,1.313306e-05,16384,271.0716
avx2,ts,spmv,256,5.429593e-05,4096,65.5666
avx2,qs,spmv,256,1.217437e-04,2048,29.2418
avx2,float,axpy,512,3.456901e-08,8388608,29621.9048
avx2,float,matvec,512,1.728340e-05,16384,30334.7773
avx2,float,matmul,512,1.224644e-01,2,2191.9465
avx2,double,axpy,512,6.930753e-08,4194304,14774.7289
avx2,double,matvec,512,4.489647e-05,8192,11677.7107
avx2,double,matmul,512,1.959035e-01,2,1370.2430
avx2,dd,axpy,512,2.727652e-07,1048576,3754.1447
avx2,dd,matvec,512,2.371971e-04,1024,2210.3470
avx2,dd,matmul,512,2.989271e-01,1,897.9965
avx2,td,axpy,512,1.624534e-06,131072,630.3346
avx2,td,matvec,512,8.528670e-04,256,614.7359
avx2,td,matmul,512,8.838179e-01,1,303.7226
avx2,qd,axpy,512,3.590820e-06,65536,285.1717
avx2,qd,matvec,512,1.894087e-03,128,276.8025
avx2,qd,matmul,512,1.703714e+00,1,157.5590
avx2,ds,axpy,512,1.363139e-07,2097152,7512.0716
avx2,ds,matvec,512,1.242481e-04,2048,4219.6865
avx2,ds,matmul,512,1.307174e-01,2,2053.5557
avx2,ts,axpy,512,4.592988e-06,65536,222.9485
avx2,ts,matvec,512,2.373438e-03,128,220.8981
avx2,ts,matmul,512,1.480898e+00,1,181.2653
avx2,qs,axpy,512,7.913630e-06,32768,129.3970
avx2,qs,matvec,512,4.108407e-03,64,127.6135
avx2,qs,matmul,512,2.297417e+00,1,116.8423
avx2,double,spmv,512,1.861245e-06,131072,3838.2920
avx2,dd,spmv,512,6.965332e-06,32768,1025.6510
avx2,td,spmv,512,3.552123e-05,8192,201.1192
avx2,qd,spmv,512,6.067799e-05,4096,117.7363
avx2,float,spmv,512,6.853945e-06,32768,1042.3195
avx2,ds,spmv,512,2.610119e-05,8192,273.7040
avx2,ts,spmv,512,1.086870e-04,2048,65.7300
avx2,qs,spmv,512,2.432568e-04,1024,29.3681
avx2,float,axpy,1024,6.863144e-08,4194304,29840.5527
avx2,float,matvec,1024,1.047759e-04,2048,20015.5980
avx2,float,matmul,1024,3.225207e+00,1,665.8437
avx2,double,axpy,1024,2.171812e-07,1048576,9429.9140
avx2,double,matvec,1024,2.131024e-04,1024,9841.0512
avx2,double,matmul,1024,3.234702e+00,1,663.8892
avx2,dd,axpy,1024,5.517272e-07,524288,3711.9792
avx2,dd,matvec,1024,9.602150e-04,256,2184.0442
avx2,dd,matmul,1024,3.351594e+00,1,640.7350
avx2,td,axpy,1024,3.279529e-06,65536,624.4800
avx2,td,matvec,1024,3.390830e-03,64,618.4775
avx2,td,matmul,1024,1.120791e+01,1,191.6043
avx2,qd,axpy,1024,7.210998e-06,32768,284.0106
avx2,qd,matvec,1024,7.524282e-03,32,278.7179
avx2,qd,matmul,1024,2.535386e+01,1,84.7004
avx2,ds,axpy,1024,2.724562e-07,1048576,7516.8048
avx2,ds,matvec,1024,4.912419e-04,512,4269.0819
avx2,ds,matmul,1024,3.406834e+00,1,630.3459
avx2,ts,axpy,1024,9.179450e-06,32768,223.1070
avx2,ts,matvec,1024,9.374000e-03,32,223.7201
avx2,ts,matmul,1024,1.924009e+01,1,111.6151
avx2,qs,axpy,1024,1.596130e-05,16384,128.3104
avx2,qs,matvec,1024,1.620243e-02,16,129.4344
avx2,qs,matmul,1024,2.754818e+01,1,77.9537
avx2,double,spmv,1024,3.720364e-06,65536,3846.9349
avx2,dd,spmv,1024,1.393951e-05,16384,1026.7217
avx2,td,spmv,1024,7.086131e-05,4096,201.9720
avx2,qd,spmv,1024,1.216973e-04,2048,117.6032
avx2,float,spmv,1024,1.341589e-05,16384,1066.7946
avx2,ds,spmv,1024,5.273195e-05,4096,271.4104
avx2,ts,spmv,1024,2.170401e-04,1024,65.9417
avx2,qs,spmv,1024,4.863008e-04,512,29.4303
avx512,float,axpy,128,5.668312e-09,33554432,45163.3569
avx512,float,matvec,128,9.434316e-07,262144,34732.7781
avx512,float,matmul,128,9.293240e-04,256,4513.2851
avx512,double,axpy,128,1.090935e-08,33554432,23466.1173
avx512,double,matvec,128,9.698333e-07,262144,33787.2495
avx512,double,matmul,128,1.874968e-03,128,2236.9998
avx512,dd,axpy,128,4.340873e-08,8388608,5897.4309
avx512,dd,matvec,128,1.489001e-05,16384,2200.6695
avx512,dd,matmul,128,2.488414e-03,128,1685.5332
avx512,td,axpy,128,3.036032e-07,1048576,843.2059
avx512,td,matvec,128,5.797856e-05,4096,565.1745
avx512,td,matmul,128,8.527748e-03,32,491.8419
avx512,qd,axpy,128,5.861202e-07,524288,436.7705
avx512,qd,matvec,128,9.809912e-05,2048,334.0295
avx512,qd,matmul,128,1.463695e-02,16,286.5559
avx512,ds,axpy,128,2.135020e-08,16777216,11990.5181
avx512,ds,matvec,128,1.901752e-05,16384,1723.0428
avx512,ds,matmul,128,3.188547e-03,64,1315.4281
avx512,ts,axpy,128,1.423106e-07,2097152,1798.8826
avx512,ts,matvec,128,6.410741e-05,4096,511.1421
avx512,ts,matmul,128,9.674244e-03,32,433.5537
avx512,qs,axpy,128,3.159694e-07,1048576,810.2051
avx512,qs,matvec,128,1.317578e-04,2048,248.6987
avx512,qs,matmul,128,1.941699e-02,16,216.0121
avx512,double,spmv,128,4.366343e-07,524288,4049.1550
avx512,dd,spmv,128,3.836045e-06,65536,460.8914
avx512,td,spmv,128,2.050518e-05,16384,86.2221
avx512,qd,spmv,128,2.731517e-05,8192,64.7259
avx512,float,spmv,128,3.223282e-06,65536,548.5093
avx512,ds,spmv,128,1.733178e-05,16384,102.0091
avx512,ts,spmv,128,4.515785e-05,8192,39.1516
avx512,qs,spmv,128,1.025645e-04,2048,17.2379
avx512,float,axpy,256,1.079419e-08,33554432,47432.9305
avx512,float,matvec,256,2.647728e-06,131072,49503.5697
avx512,float,matmul,256,1.543850e-02,16,2173.4261
avx512,double,axpy,256,7.668257e-08,4194304,6676.8760
avx512,double,matvec,256,4.249512e-06,65536,30844.0113
avx512,double,matmul,256,1.526576e-02,16,2198.0187
avx512,dd,axpy,256,8.665751e-08,4194304,5908.3167
avx512,dd,matvec,256,5.558494e-05,4096,2358.0488
avx512,dd,matmul,256,1.754668e-02,16,1912.2948
avx512,td,axpy,256,5.416391e-07,524288,945.2789
avx512,td,matvec,256,1.965235e-04,1024,666.9533
avx512,td,matmul,256,6.159776e-02,4,544.7346
avx512,qd,axpy,256,1.171611e-06,262144,437.0051
avx512,qd,matvec,256,3.383330e-04,1024,387.4054
avx512,qd,matmul,256,1.109725e-01,2,302.3670
avx512,ds,axpy,256,4.249205e-08,8388608,12049.3135
avx512,ds,matvec,256,5.123805e-05,4096,2558.0989
avx512,ds,matmul,256,1.952080e-02,16,1718.9062
avx512,ts,axpy,256,2.826814e-07,1048576,1811.2263
avx512,ts,matvec,256,1.690479e-04,2048,775.3544
avx512,ts,matmul,256,5.569798e-02,4,602.4354
avx512,qs,axpy,256,6.338464e-07,524288,807.7667
avx512,qs,matvec,256,3.351485e-04,1024,391.0863
avx512,qs,matmul,256,1.070995e-01,2,313.3014
avx512,double,spmv,256,8.827556e-07,262144,4032.8265
avx512,dd,spmv,256,7.660215e-06,32768,464.7389
avx512,td,spmv,256,4.100232e-05,8192,86.8244
avx512,qd,spmv,256,5.470385e-05,4096,65.0777
avx512,float,spmv,256,6.452639e-06,32768,551.7122
avx512,ds,spmv,256,3.471534e-05,8192,102.5483
avx512,ts,spmv,256,9.034033e-05,4096,39.4065
avx512,qs,spmv,256,2.048633e-04,1024,17.3774
avx512,float,axpy,512,2.138525e-08,16777216,47883.4770
avx512,float,matvec,512,1.038638e-05,32768,50478.4220
avx512,float,matmul,512,1.164266e-01,2,2305.6199
avx512,double,axpy,512,4.429961e-08,8388608,23115.3271
avx512,double,matvec,512,3.205505e-05,8192,16355.8648
avx512,double,matmul,512,1.952205e-01,2,1375.0374
avx512,dd,axpy,512,1.781210e-07,2097152,5748.9006
avx512,dd,matvec,512,2.197530e-04,1024,2385.8058
avx512,dd,matmul,512,2.736831e-01,1,980.8259
avx512,td,axpy,512,1.083210e-06,262144,945.3384
avx512,td,matvec,512,7.160706e-04,512,732.1736
avx512,td,matmul,512,7.355070e-01,1,364.9665
avx512,qd,axpy,512,2.343948e-06,131072,436.8698
avx512,qd,matvec,512,1.252519e-03,256,418.5869
avx512,qd,matmul,512,1.273702e+00,1,210.7521
avx512,ds,axpy,512,8.645009e-08,4194304,11844.9853
avx512,ds,matvec,512,1.539239e-04,2048,3406.1513
avx512,ds,matmul,512,1.763719e-01,2,1521.9851
avx512,ts,axpy,512,5.651932e-07,524288,1811.7698
avx512,ts,matvec,512,5.055391e-04,512,1037.0869
avx512,ts,matmul,512,3.975692e-01,1,675.1918
avx512,qs,axpy,512,1.260258e-06,262144,812.5322
avx512,qs,matvec,512,9.572310e-04,256,547.7131
avx512,qs,matmul,512,7.745390e-01,1,346.5745
avx512,double,spmv,512,1.985023e-06,131072,3598.9505
avx512,dd,spmv,512,1.536273e-05,16384,465.0214
avx512,td,spmv,512,8.203246e-05,4096,87.0875
avx512,qd,spmv,512,1.093628e-04,2048,65.3239
avx512,float,spmv,512,1.308411e-05,16384,546.0059
avx512,ds,spmv,512,6.944092e-05,4096,102.8788
avx512,ts,spmv,512,1.806816e-04,2048,39.5392
avx512,qs,spmv,512,4.098359e-04,512,17.4314
avx512,float,axpy,1024,4.304169e-08,8388608,47581.7696
avx512,float,matvec,1024,1.031436e-04,2048,20332.3471
avx512,float,matmul,1024,3.235130e+00,1,663.8014
avx512,double,axpy,1024,2.016993e-07,1048576,10153.7277
avx512,double,matvec,1024,2.104081e-04,1024,9967.0677
avx512,double,matmul,1024,3.203068e+00,1,670.4458
avx512,dd,axpy,1024,3.938617e-07,524288,5199.7950
avx512,dd,matvec,1024,8.464959e-04,256,2477.4510
avx512,dd,matmul,1024,3.329765e+00,1,644.9355
avx512,td,axpy,1024,2.181625e-06,131072,938.7498
avx512,td,matvec,1024,2.730226e-03,128,768.1239
avx512,td,matmul,1024,1.092175e+01,1,196.6244
avx512,qd,axpy,1024,4.689195e-06,65536,436.7488
avx512,qd,matvec,1024,4.847344e-03,64,432.6394
avx512,qd,matmul,1024,2.024877e+01,1,106.0550
