backend,type,op,N,seconds,iters,mflops
serial,ts,axpy,1024,3.144483e-05,8192,65.1300
serial,ts,matvec,1024,2.131931e-02,16,98.3686
serial,ts,matmul,1024,3.121851e+01,1,68.7888
serial,qs,axpy,1024,7.466087e-05,4096,27.4307
serial,qs,matvec,1024,7.486695e-02,4,28.0117
serial,qs,matmul,1024,8.554559e+01,1,25.1034
serial,double,spmv,1024,4.773497e-06,65536,2998.2209
serial,dd,spmv,1024,2.362287e-05,16384,605.8537
serial,td,spmv,1024,1.042974e-04,2048,137.2230
serial,qd,spmv,1024,2.096826e-04,1024,68.2555
serial,float,spmv,1024,3.406800e-06,65536,4201.0100
serial,ds,spmv,1024,2.410340e-05,16384,593.7752
serial,ts,spmv,1024,1.505503e-04,2048,95.0646
serial,qs,spmv,1024,4.846444e-04,512,29.5309
serial,float,axpy,2048,3.412638e-07,1048576,12002.4455
serial,float,matvec,2048,2.083369e-03,128,4026.4637
serial,float,matmul,2048,2.747099e+01,1,625.3822
serial,double,axpy,2048,3.663663e-07,1048576,11180.0678
serial,double,matvec,2048,2.291953e-03,128,3660.0259
serial,double,matmul,2048,2.835654e+01,1,605.8521
serial,dd,axpy,2048,5.296049e-06,65536,773.4067
serial,dd,matvec,2048,2.180775e-02,16,384.6619
serial,dd,matmul,2048,1.072004e+02,1,160.2594
serial,td,axpy,2048,2.797146e-05,8192,146.4350
serial,td,matvec,2048,5.945694e-02,4,141.0871
serial,td,matmul,2048,3.774085e+02,1,45.5206
serial,qd,axpy,2048,6.038742e-05,4096,67.8287
serial,qd,matvec,2048,1.214955e-01,2,69.0446
serial,qd,matmul,2048,6.929435e+02,1,24.7926
serial,ds,axpy,2048,5.259109e-06,65536,778.8391
serial,ds,matvec,2048,2.155337e-02,16,389.2017
serial,ds,matmul,2048,7.495667e+01,1,229.1973
serial,ts,axpy,2048,6.448198e-05,4096,63.5216
serial,ts,matvec,2048,8.568925e-02,4,97.8957
serial,ts,matmul,2048,3.429969e+02,1,50.0875
serial,qs,axpy,2048,1.492177e-04,2048,27.4498
serial,qs,matvec,2048,2.987230e-01,1,28.0816
avx2,double,axpy,128,1.756544e-08,16777216,14574.0722
avx2,double,matvec,128,1.649369e-06,131072,19866.9959
avx2,double,matmul,128,1.806399e-03,128,2321.9147
avx2,dd,axpy,128,6.815770e-08,4194304,3755.9951
avx2,dd,matvec,128,1.377106e-05,16384,2379.4829
avx2,dd,matmul,128,2.215741e-03,128,1892.9575
avx2,td,axpy,128,4.100684e-07,524288,624.2861
avx2,td,matvec,128,5.704293e-05,4096,574.4446
avx2,td,matmul,128,9.456255e-03,32,443.5481
avx2,qd,axpy,128,8.961106e-07,262144,285.6790
avx2,qd,matvec,128,1.232608e-04,2048,265.8429
avx2,qd,matmul,128,1.802856e-02,16,232.6478
avx2,double,spmv,128,3.892151e-07,524288,4542.4757
avx2,dd,spmv,128,1.738419e-06,131072,1017.0160
avx2,td,spmv,128,8.840267e-06,32768,199.9940
avx2,qd,spmv,128,1.515588e-05,16384,116.6544
avx2,double,axpy,256,3.497948e-08,8388608,14637.1535
avx2,double,matvec,256,7.894472e-06,32768,16603.0098
avx2,double,matmul,256,1.466331e-02,16,2288.3261
avx2,dd,axpy,256,1.362433e-07,2097152,3757.9821
avx2,dd,matvec,256,5.803490e-05,4096,2258.5031
avx2,dd,matmul,256,1.934737e-02,16,1734.3149
avx2,td,axpy,256,8.126872e-07,262144,630.0087
avx2,td,matvec,256,2.173965e-04,1024,602.9167
avx2,td,matmul,256,7.710201e-02,4,435.1953
avx2,qd,axpy,256,1.796738e-06,131072,284.9609
avx2,qd,matvec,256,4.802048e-04,512,272.9502
avx2,qd,matmul,256,1.463945e-01,2,229.2056
avx2,double,spmv,256,8.008728e-07,262144,4445.1501
avx2,dd,spmv,256,3.480942e-06,65536,1022.7117
avx2,td,spmv,256,1.770502e-05,16384,201.0729
avx2,qd,spmv,256,3.028676e-05,8192,117.5431
avx2,double,axpy,512,6.942321e-08,4194304,14750.1105
avx2,double,matvec,512,4.435144e-05,8192,11821.2161
avx2,double,matmul,512,2.183712e-01,1,1229.2624
avx2,dd,axpy,512,2.723941e-07,1048576,3759.2589
avx2,dd,matvec,512,2.371534e-04,1024,2210.7549
avx2,dd,matmul,512,2.984471e-01,1,899.4406
avx2,td,axpy,512,1.624658e-06,131072,630.2866
avx2,td,matvec,512,8.532107e-04,256,614.4883
avx2,td,matmul,512,8.861721e-01,1,302.9157
avx2,qd,axpy,512,3.580244e-06,65536,286.0140
avx2,qd,matvec,512,1.893163e-03,128,276.9376
avx2,qd,matmul,512,1.702971e+00,1,157.6277
avx2,double,spmv,512,1.721817e-06,131072,4149.1049
avx2,dd,spmv,512,7.023162e-06,32768,1017.2057
avx2,td,spmv,512,3.540784e-05,8192,201.7632
avx2,qd,spmv,512,6.069796e-05,4096,117.6975
avx2,double,axpy,1024,1.638284e-07,2097152,12500.8837
avx2,double,matvec,1024,2.492471e-04,1024,8413.9486
